b,deviance,mean.lambda,mean.t.pred
1.029159007205974,17096.490090455143,-2.174574739311051,8.740906318593655
1.0726809201245393,17096.67487897556,-2.243278769294459,8.274760225957339
1.0959457292094044,17096.068278165803,-2.3233438207823958,8.70046705698207
1.0612834843592813,17086.836772175615,-2.227665635902334,8.364376153387095
1.0575961473316136,17090.0873633605,-2.220136972777776,8.67631296852113
1.0673344622258218,17090.73331577118,-2.2405799301426605,8.682391571328619
1.0721942111891418,17085.346135984873,-2.266722958013351,8.351396521983844
1.059763973738267,17084.681301701203,-2.234762319802622,8.498650303230656
1.0632263747852375,17089.505017524225,-2.230126869922595,8.395765333550363
1.041948789491685,17084.237990183345,-2.160920275454504,8.350926905768596
1.0524395304176941,17083.839856919203,-2.1826772514212585,8.10371475823743
1.0669762404021168,17084.955889548844,-2.2128252506900705,8.132668360161516
1.057521875274368,17084.010674310106,-2.1932176370509544,8.268683493375061
1.05213090258029,17083.837108916574,-2.182037181431098,8.604226788283121
1.0424381452419662,17083.26722716821,-2.1820175756807707,8.45226847902638
1.0936304656260725,17087.62277871455,-2.2806777021797378,8.24956758309216
1.0425230721007854,17081.950642650223,-2.1740973750095853,8.194586417155415
1.0405922579579072,17082.776589283625,-2.166787828417413,8.290777609243914
1.0415284297461782,17085.292725321386,-2.186237452723049,8.673592212366891
1.0624436447143604,17091.311336964296,-2.2408644951460492,8.451527662764638
1.0813641637194504,17093.702693671145,-2.280770912280924,8.618697170893665
1.0653285305470146,17091.472122207095,-2.2469491832771546,8.495848693641703
1.023350296351124,17098.190311700597,-2.1578001811035565,8.82766489404508
1.0626505398010666,17089.168521670184,-2.2215793855405925,8.403818783755243
1.0568134018425859,17096.226684621244,-2.246575699375616,8.574249542082663
1.0706820086339814,17096.56509778253,-2.276057606917108,8.692956252990822
1.0524503559357195,17096.46816306777,-2.237300729080456,8.434143101218787
1.0378732214808797,17088.862236171168,-2.1780806824470194,8.334668252017858
1.0147190577995875,17090.869517132356,-2.1074496408308856,8.450467919445492
1.0430071668257048,17085.458633273545,-2.1555853102488762,8.101409963317918
1.0364786168127398,17085.93441521879,-2.1420927409235886,8.236486879037859
1.020472757852402,17088.8058247493,-2.109013395402095,8.131485711715532
1.0405362556107083,17085.5915659691,-2.1504786723585636,8.17847962573004
1.0186492582712643,17092.427653511608,-2.0729804374330856,8.329683974824912
1.052921354689304,17089.10660708362,-2.2110786779117304,8.432939782417925
1.0498902620911263,17089.222570178903,-2.2047135451459132,8.394612702252958
1.0411314353246308,17090.024853114443,-2.186320476166264,8.587817123359521
1.0277709299283448,17092.595262125164,-2.158264127535583,8.42488066521196
1.0686719283556534,17089.832314741456,-2.2441540424139683,8.493681923554474
1.058030879550782,17088.208293892025,-2.2088374026440483,8.419447140284989
1.0288018779056982,17090.35302620936,-2.14781639340564,8.469027311791688
1.032427709095842,17089.656656133724,-2.155385994353237,7.958753572496693
1.0465901526680896,17094.04984968049,-2.213820067779345,8.5710743879796
1.0508374129751397,17093.741726731718,-2.2228041673113523,8.666066175711808
1.0504216938438415,17090.079223549586,-2.2039887914608425,8.21932889294726
1.0458478632900736,17092.33095881315,-2.184318818749284,8.610524398300301
1.0313588990389646,17093.91480421264,-2.154057708707572,8.215974615787205
1.0529729142113364,17092.731332061943,-2.1967960116310707,8.402298834534669
1.0432683810413446,17094.419422412488,-2.179337254824699,8.373759471607544
1.0537166687269155,17094.31005478567,-2.2011632231143983,8.781733878367936
